GeneID,RTproportion,sampleType
ENSG00000265354.4,12.34376335,control
ENSG00000266402.3,29.23206384,control
ENSG00000266490.1,43.69302003,control
NA.1,NA,control
ENSG00000273259.3,1.278779922,control
ENSG00000273344.1,4.300415021,control
ENSG00000274925.1,11.14655679,control
ENSG00000276292.1,49.56060267,control
ENSG00000286714.1,16.13242766,control
ENSG00000274422.1,20.62036391,control
ENSG00000090487.11,20.48220123,control
ENSG00000273162.1,34.64641521,control
ENSG00000272994.1,6.419641288,control
ENSG00000272599.2,5.765483171,control
ENSG00000266962.2,19.07876099,control
ENSG00000266680.1,16.28896511,control
ENSG00000255121.2,31.4566974,control
ENSG00000253598.3,52.29537506,control
ENSG00000243960.1,1.606580107,control
ENSG00000242485.6,2.057802402,control
ENSG00000237190.4,7.420836502,control
ENSG00000230863.3,35.30847845,control
ENSG00000228716.7,6.131034135,control
ENSG00000227038.3,33.61441755,control
ENSG00000226696.6,31.04662023,control
ENSG00000225377.6,35.07168633,control
ENSG00000214135.8,12.67355459,control
ENSG00000213801.4,8.870804171,control
ENSG00000205213.14,6.741433373,control
ENSG00000204628.12,0.131626583,control
ENSG00000196678.14,3.699136002,control
ENSG00000196670.14,10.39747598,control
ENSG00000196504.19,1.209885505,control
ENSG00000188985.6,60.1945127,control
ENSG00000188725.8,6.182775921,control
ENSG00000188529.15,0.884354373,control
ENSG00000188295.15,49.97614683,control
ENSG00000186063.13,12.07969213,control
ENSG00000185485.14,14.66033005,control
ENSG00000183576.13,11.46984855,control
ENSG00000183155.5,13.39986034,control
ENSG00000181817.6,6.933572856,control
ENSG00000180817.12,5.049274543,control
ENSG00000180329.14,5.043833264,control
ENSG00000178935.5,16.75773057,control
ENSG00000177946.7,5.00300345,control
ENSG00000177868.12,11.7195535,control
ENSG00000177383.5,1.713947782,control
ENSG00000176410.8,10.10360153,control
ENSG00000176401.6,11.16152082,control
ENSG00000173852.15,11.91429248,control
ENSG00000173588.15,36.31808373,control
ENSG00000173145.11,12.10887093,control
ENSG00000171560.16,0.171722617,control
ENSG00000170949.17,28.8436989,control
ENSG00000170448.12,35.11509557,control
ENSG00000169679.15,6.064098295,control
ENSG00000169223.15,0.956801871,control
ENSG00000168288.13,3.393950847,control
ENSG00000168264.11,0.227229685,control
ENSG00000165525.18,1.037440863,control
ENSG00000165471.7,18.74923353,control
ENSG00000165118.15,12.15385841,control
ENSG00000164933.12,11.75564614,control
ENSG00000164597.15,4.322053154,control
ENSG00000164180.14,31.82166924,control
ENSG00000164169.13,34.57677524,control
ENSG00000163481.8,1.252117746,control
ENSG00000163257.11,5.062048695,control
ENSG00000162980.17,6.102470679,control
ENSG00000162714.12,10.28530151,control
ENSG00000162702.8,2.74791714,control
ENSG00000161654.10,9.83466209,control
ENSG00000159131.17,16.86568637,control
ENSG00000158769.18,0.757411421,control
ENSG00000158711.14,14.92479188,control
ENSG00000156304.15,8.598512051,control
ENSG00000155438.12,1.088020001,control
ENSG00000153048.11,3.052418697,control
ENSG00000152990.14,2.857891146,control
ENSG00000152253.9,21.97072865,control
ENSG00000151893.15,6.587922731,control
ENSG00000150433.9,16.66943776,control
ENSG00000149634.4,33.22646528,control
ENSG00000149308.17,5.679965206,control
ENSG00000148690.12,25.02426768,control
ENSG00000146733.14,51.82500023,control
ENSG00000145386.11,4.104086338,control
ENSG00000143952.20,18.33836613,control
ENSG00000143498.18,59.97638817,control
ENSG00000141027.21,4.666472671,control
ENSG00000140319.11,0.683950387,control
ENSG00000138303.18,20.53392126,control
ENSG00000138075.14,14.83251401,control
ENSG00000137504.14,1.559246225,control
ENSG00000137168.8,0.842810858,control
ENSG00000137154.13,0.034546365,control
ENSG00000136936.11,6.612605345,control
ENSG00000136273.13,21.08555937,control
ENSG00000136270.14,4.14686394,control
ENSG00000136231.14,11.21538856,control
ENSG00000135953.11,4.535666469,control
ENSG00000135185.12,6.648231669,control
ENSG00000134575.13,22.89011003,control
ENSG00000132485.14,1.748694643,control
ENSG00000132436.11,16.97993878,control
ENSG00000132275.11,7.538615179,control
ENSG00000131791.8,3.006166841,control
ENSG00000131100.13,7.916629962,control
ENSG00000131013.4,13.34916431,control
ENSG00000128000.17,22.35967462,control
ENSG00000125730.17,0.167684975,control
ENSG00000125037.12,8.136198628,control
ENSG00000124787.14,26.43741801,control
ENSG00000124172.10,0.658341116,control
ENSG00000123992.20,1.905644665,control
ENSG00000123600.20,8.396720543,control
ENSG00000123219.13,5.448835974,control
ENSG00000122952.17,2.480381443,control
ENSG00000120963.12,2.063585751,control
ENSG00000120334.15,43.07669459,control
ENSG00000116903.7,8.319346601,control
ENSG00000116791.14,3.579647895,control
ENSG00000116752.6,14.60676988,control
ENSG00000115840.14,12.42876179,control
ENSG00000115652.15,1.925277812,control
ENSG00000114209.15,2.795136105,control
ENSG00000113812.14,13.53657284,control
ENSG00000113048.17,0.565959524,control
ENSG00000111897.7,4.343502853,control
ENSG00000110172.12,4.705105128,control
ENSG00000109814.12,3.358763206,control
ENSG00000106804.8,3.942905879,control
ENSG00000105983.22,27.99926622,control
ENSG00000105854.13,6.753069823,control
ENSG00000104687.14,7.261468922,control
ENSG00000102158.20,19.94532302,control
ENSG00000101343.15,7.173994196,control
ENSG00000100983.12,2.584136922,control
ENSG00000100979.15,16.61852236,control
ENSG00000100934.15,0.306857399,control
ENSG00000100296.14,9.645489197,control
